ticker,v,vw,o,c,h,l,t,n
stocks_BA,4143430.0,173.0738,173.14,173.74,174.36,171.49,1724990400000,55854
stocks_BA,17883418.0,160.9687,167.03,161.02,169.6,158.3,1725336000000,244088
stocks_BA,7316302.0,163.8141,160.28,163.22,166.7,160.28,1725422400000,96793
stocks_BA,4717520.0,162.3139,164.15,162.15,164.6163,160.1,1725508800000,72484
stocks_BA,6878641.0,158.4449,162.5,157.62,162.85,156.695,1725595200000,106566
stocks_BA,9091545.0,163.3952,162.3,162.91,164.55,161.11,1725854400000,117222
stocks_BA,6367077.0,159.4001,162.61,160.07,163.9,157.93,1725940800000,94191
stocks_BA,6664756.0,159.3555,159.79,161.33,161.8699,156.1,1726027200000,88652
stocks_BA,4756367.0,162.2119,159.42,162.77,163.5,159.06,1726113600000,69450
stocks_BA,19003354.0,158.2605,159.78,156.77,162.8899,155.6,1726200000000,217878
stocks_BA,9955158.0,155.5267,156.25,155.55,157.76,154.02,1726459200000,128922
stocks_BA,8123236.0,156.6899,156.17,156.39,158.88,155.14,1726545600000,112153
stocks_BA,7714430.0,156.4995,157,155.11,158.45,154.8,1726632000000,96586
stocks_BA,9570002.0,155.3518,157,154.59,157.18,154.27,1726718400000,113259
stocks_BA,13919395.0,153.3998,154.01,153.29,154.64,152.6,1726804800000,109712
stocks_BA,12476805.0,155.5153,153,156.3,158.43,151.65,1727064000000,129726
stocks_BA,7414902.0,154.9815,155.8,155.81,155.9,153.69,1727150400000,97934
stocks_BA,9587697.0,153.6716,156.42,152.22,157.22,152.045,1727236800000,125356
stocks_BA,11414380.0,154.8112,153.94,154.58,157.33,152.66,1727323200000,132102
stocks_BA,7636991.0,156.2277,155.365,156.32,157.33,154.39,1727409600000,88523
stocks_BA,10925178.0,152.3595,154.79,152.04,155.3,151.24,1727668800000,135849
stocks_BA,12588778.0,153.1871,151.46,154.22,156.4,149.49,1727755200000,153314
stocks_BA,4257023.0,153.5003,153.765,152.89,154.8499,152.835,1727841600000,63688
stocks_BA,5704814.0,151.1756,152.12,150.52,152.74,150.51,1727928000000,89599
stocks_BA,6680591.0,153.0456,152.26,155,155,150.85,1728014400000,90911
stocks_BA,6267890.0,156.5179,155,155.91,158.7599,154.68,1728273600000,88815
stocks_BA,5336289.0,155.0576,155.99,154.65,156.7,154.14,1728360000000,72974
stocks_BA,12488480.0,150.1877,152.05,149.37,152.19,148.8,1728446400000,161231
stocks_BA,11275836.0,147.4495,149.07,146.62,149.11,146.26,1728532800000,151349
stocks_BA,10688553.0,149.7417,146.3,151.02,151.12,146.3,1728619200000,116949
stocks_BA,9736998.0,148.2771,148,148.99,150.09,146.02,1728878400000,130101
stocks_BA,11241668.0,151.4269,150.5,152.35,153.95,148.55,1728964800000,148566
stocks_BA,8356210.0,153.5866,151.91,154.9,154.99,151.34,1729051200000,112590
stocks_BA,6291759.0,155.7324,155,155.31,157.14,154.25,1729137600000,91260
stocks_BA,6030173.0,154.8697,155.84,155,156.37,153.9,1729224000000,74997
stocks_BA,13277553.0,160.6238,160.25,159.82,163.44,158.36,1729483200000,171419
stocks_BA,7380826.0,159.736,160.5,159.88,160.66,158.37,1729569600000,107403
stocks_BA,15931493.0,156.8268,160,157.06,161.4725,153.53,1729656000000,200535
stocks_BA,9774355.0,154.2346,152.61,155.2,155.89,151.98,1729742400000,125399
stocks_BA,8152969.0,155.7249,156.2,155.01,157.48,154.5202,1729828800000,103798
stocks_BA,20992479.0,152.3267,153.5,150.69,155.2,150.61,1730088000000,221942
stocks_BA,66163677.0,152.4691,147.86,152.98,155.99,147.58,1730174400000,548325
stocks_BA,50738362.0,154.7498,152.51,154.29,156.91,152.51,1730260800000,271497
stocks_BA,29388204.0,149.773,154.31,149.31,154.48,147.88,1730347200000,247900
stocks_BA,18894509.0,154.0181,152.78,154.59,156,151.23,1730433600000,189827
stocks_BA,9906187.0,155.3416,154.62,155.07,156.72,152.46,1730696400000,112848
stocks_BA,23126635.0,153.1588,157.47,151,157.66,150.65,1730782800000,234444
stocks_BA,28069287.0,147.4871,152.3,147.16,153.2,144.13,1730869200000,323782
stocks_BA,14709235.0,150.7968,148.8,150.98,152.8,148.03,1730955600000,151936
stocks_BA,12996805.0,151.3262,151.12,151.68,152.6,149.43,1731042000000,133147
stocks_BA,12799077.0,149.3383,152,148.96,152.5,148.07,1731301200000,144938
